<<<<<<< HEAD
Year,Fatalities,VMT (Million vehicle-miles traveled),Factor,Fatality Rate,Serious Injuries,Serious Injury Rate,Nonmotorist Fatal & Serious Injuries,Fatalities (5-yr avg),Fatality Rate (5-yr avg),Serious Injuries (5-yr avg),Serious Injury Rate (5-yr avg),Nonmotorist Fatal & Serious Injuries (5-yr avg),Fatalities Projection (Current),Fatalities Projection (Past),Fatalities Target (Current),Fatalities Target (Past),Fatality Rate Projection (Current),Fatality Rate Projection (Past),Fatality Rate Target (Current),Fatality Rate Target (Past),Serious Injury Projection (Current),Serious Injury Projection (Past),Serious Injury Target (Current),Serious Injury Target (Past),Serious Injury Rate Projection (Current),Serious Injury Rate Projection (Past),Serious Injury Rate Target (Current),Serious Injury Rate Target (Past),Nonmotorists Projection (Current),Nonmotorists Projection (Past),Nonmotorists Target (Current),Nonmotorists Target (Past),Fatalities Trend,Fatality Rate Trend,Serious Injuries Trend,Serious Injury Rate Trend,Nonmotorist Fatal & Serious Injuries Trend
2006,65,5530.651623,100,1.175,604,10.921,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,55,5556.664224,100,0.99,659,11.86,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,40,5578.817936,100,0.717,612,10.97,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,41,5764.750578,100,0.711,608,10.547,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,46,5950.683221,100,0.773,539,9.058,55,49.4,0.873,604.4,10.671,58.8,,,,,,,,,,,,,,,,,,,,,,,,,
2011,39,6109.850012,100,0.638,523,8.56,68,44.2,0.766,588.2,10.199,61.8,,,,,,,,,,,,,,,,,,,,,,,,,
2012,49,6269.016474,100,0.782,533,8.502,86,43,0.724,563,9.527,66,,,,,,,,,,,,,,,,,,,,,,,,,
2013,48,6314.495328,100,0.76,527,8.346,59,44.6,0.733,546,9.003,66.4,,,,,,,,,,,,,,,,,,,,,,,,,
2014,46,6362.562434,100,0.723,519,8.157,63,45.6,0.735,528.2,8.525,66.2,,,,,,,,,,,,,,,,,,,,,,,,,
2015,72,"6,376.00",100,1.129,549,8.61,58,50.8,0.806,530.2,8.435,66.8,,,,,,,,,,,,,,,,,,,,,,,,,
2016,52,6389.416652,100,0.814,550,8.608,67,53.4,0.842,535.6,8.445,66.6,,,,,,,,,,,,,,,,,,,,,,,,,
2017,62,6402.843761,100,0.968,534,8.34,64,56,0.879,535.8,8.412,62.2,,,,,,,,,,,,,,,,,,,,,,,,,
2018,60,"6,856.000",100,0.907,496,7.5,71,58.4,0.908,529.6,8.243,64.6,,55.6,,,,0.847,,,,510.6,,,,7.968,,,,66.6,,,,,,,
2019,65,"7,014",100,0.975,485,7.276,65,62.2,0.959,522.8,8.067,65,,61.9,,55.6,,0.958,,0.847,,497.2,,505.2,,7.643,,7.682,,67.6,,66.6,,,,,
2020,65,6242,100,1.095,479,8.068,47,60.8,0.952,508.8,7.958,62.6,,61.9,,61.9,,0.999,,0.999,,485.4,,485.4,,7.643,,7.357,,66.9,,66.9,60.8,0.952,508.8,7.958,62.6
2021,53,6858,100,0.808,461,7.226,35,61.2,0.951,495.4,7.682,61.6,,61.9,,61.9,,0.999,,0.999,,497.8,,473.5,,7.694,,7.357,,64.1,,65.9,61.2,0.951,495.4,7.682,61.6
2022,52,6987,100,0.845,434,6.862,42,60,0.926,479.6,7.386,59.2,,66.3,,61.9,,0.955,,0.999,,499.2,,484.9,,8.085,,7.45,,62,,63.5,60,0.926,479.6,7.386,59.2
2023,59,7057.137,100,0.836,470,7.063,59,59.6,0.918,475,7.299,57.4,,63.9,,63.9,,0.963,,0.935,,473.1,,489.2,,7.554,,8.024,,61.9,,60.5,59.6,0.918,475,7.299,57.4
2024,80,7127.708,100,1.122,441,6.187,78,61.8,0.947,457,7.081,52.2,,61.4,,61.4,,0.861,,0.941,,446.4,,446.4,,6.263,,7.29,,59.7,,59.7,61.8,0.947,457,7.081,52.2
2025,,7198.985476,100,,,,,,,,,,58.9,,,58.9,0.818,,,0.818,420.1,,,420.1,5.836,,,5.836,57.5,,,57.5,,,,,
2026,,7271,,,,,,,,,,,,,56.2,,,,0.773,,,,394.2,,,,5.422,,,,55.2,,,,,,
=======
Year,Fatalities,VMT (Million vehicle-miles traveled),Factor,Fatality Rate,Serious Injuries,Serious Injury Rate,Nonmotorist Fatal & Serious Injuries,Fatalities (5-yr avg),Fatality Rate (5-yr avg),Serious Injuries (5-yr avg),Serious Injury Rate (5-yr avg),Nonmotorist Fatal & Serious Injuries (5-yr avg),Fatalities Projection (Current),Fatalities Projection (Past),Fatalities Target (Current),Fatalities Target (Past),Fatality Rate Projection (Current),Fatality Rate Projection (Past),Fatality Rate Target (Current),Fatality Rate Target (Past),Serious Injury Projection (Current),Serious Injury Projection (Past),Serious Injury Target (Current),Serious Injury Target (Past),Serious Injury Rate Projection (Current),Serious Injury Rate Projection (Past),Serious Injury Rate Target (Current),Serious Injury Rate Target (Past),Nonmotorists Projection (Current),Nonmotorists Projection (Past),Nonmotorists Target (Current),Nonmotorists Target (Past),Fatalities Trend,Fatality Rate Trend,Serious Injuries Trend,Serious Injury Rate Trend
2006,65,5530.651623,100,1.175,604,10.921,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,55,5556.664224,100,0.99,659,11.86,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,40,5578.817936,100,0.717,612,10.97,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,41,5764.750578,100,0.711,608,10.547,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,46,5950.683221,100,0.773,539,9.058,55,49.4,0.873,604.4,10.671,58.8,,,,,,,,,,,,,,,,,,,,,,,,
2011,39,6109.850012,100,0.638,523,8.56,68,44.2,0.766,588.2,10.199,61.8,,,,,,,,,,,,,,,,,,,,,,,,
2012,49,6269.016474,100,0.782,533,8.502,86,43,0.724,563,9.527,66,,,,,,,,,,,,,,,,,,,,,,,,
2013,48,6314.495328,100,0.76,527,8.346,59,44.6,0.733,546,9.003,66.4,,,,,,,,,,,,,,,,,,,,,,,,
2014,46,6362.562434,100,0.723,519,8.157,63,45.6,0.735,528.2,8.525,66.2,,,,,,,,,,,,,,,,,,,,,,,,
2015,72,"6,376.00",100,1.129,549,8.61,58,50.8,0.806,530.2,8.435,66.8,,,,,,,,,,,,,,,,,,,,,,,,
2016,52,6389.416652,100,0.814,550,8.608,67,53.4,0.842,535.6,8.445,66.6,,,,,,,,,,,,,,,,,,,,,,,,
2017,62,6402.843761,100,0.968,534,8.34,64,56,0.879,535.8,8.412,62.2,,,,,,,,,,,,,,,,,,,,,,,,
2018,60,"6,856",100,0.907,496,7.5,71,58.4,0.908,529.6,8.243,64.6,,55.6,,,,0.847,,,,510.6,,,,7.968,,,,66.6,,,,,,
2019,65,"7,014",100,0.975,485,7.276,65,62.2,0.959,522.8,8.067,65,,61.9,,55.6,,0.958,,0.847,,497.2,,505.2,,7.643,,7.682,,67.6,,66.6,62.2,0.959,522.8,8.067
2020,65,6242,100,1.041,479,7.674,47,60.8,0.941,508.8,7.88,62.8,,61.9,,61.9,,0.999,,0.999,,485.4,,485.4,,7.643,,7.357,,66.9,,66.9,60.8,0.952,508.8,7.958
2021,53,6858,100,0.772820064,461,6.722,35,61,0.933,491,7.502,56.4,,61.9,,61.9,,0.999,,0.999,,497.8,,473.5,,7.694,,7.357,,64.1,,65.9,61.2,0.951,495.4,7.682
2022,52,6987,100,0.744,434,6.212,42,59,0.888,471,7.077,52,,66.3,,61.9,,0.955,,0.999,,499.2,,484.9,,8.085,,7.45,,62,,63.5,60,0.926,479.6,7.386
2023,59,7057.137,100,0.836,470,6.66,59,58.8,0.874,465.8,6.909,49.6,,63.9,,63.9,,0.963,,0.935,473.1,473.1,,489.2,,7.554,,8.024,,61.9,,60.5,59.6,0.918,475,7.299
2024,80,7127.708,100,1.122,441,6.187,78,61.8,0.903,457,6.691,52.2,61.4,,,61.4,0.861,,,0.941,446.4,,,446.4,6.263,,,7.29,59.7,,,59.7,,,,
2025,,7198.985476,100,,,,,,,,,,,,58.9,,,,0.818,,,,420.1,,,,5.836,,,,57.5,,,,,
2026,,7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> 3a0e5830c2ef1017bd2531ba65cc7c44f30b40eb
